job,default,cons.price.idx,cons.conf.idx,euribor3m,y
5.0,0.0,93.918,-42.7,4.957,0
11.0,0.0,92.379,-29.8,0.809,0
2.0,0.0,94.465,-41.8,4.967,0
0.0,0.0,94.465,-41.8,4.961,0
6.0,0.0,93.075,-47.1,1.41,0
6.0,0.0,93.444,-36.1,4.963,0
9.0,0.0,93.918,-42.7,4.963,0
6.0,0.0,93.2,-42.0,4.153,0
3.0,0.0,93.994,-36.4,4.864,1
3.0,1.0,92.893,-46.2,1.281,0
8.0,0.0,93.444,-36.1,4.968,0
2.0,0.0,93.444,-36.1,4.968,0
3.0,1.0,93.994,-36.4,4.86,0
2.0,0.0,92.893,-46.2,1.244,1
3.0,0.0,93.918,-42.7,4.961,0
2.0,0.0,92.893,-46.2,1.266,0
3.0,1.0,94.465,-41.8,4.959,0
5.0,1.0,93.444,-36.1,4.97,0
3.0,0.0,93.918,-42.7,4.961,0
2.0,0.0,93.918,-42.7,4.962,0
9.0,1.0,93.918,-42.7,4.961,0
2.0,0.0,93.444,-36.1,4.965,0
4.0,0.0,94.465,-41.8,4.959,0
3.0,1.0,93.918,-42.7,4.957,0
3.0,0.0,93.994,-36.4,4.86,0
3.0,1.0,93.994,-36.4,4.856,0
3.0,0.0,93.918,-42.7,4.958,0
3.0,1.0,93.918,-42.7,4.957,1
11.0,0.0,93.2,-42.0,4.021,0
2.0,0.0,92.713,-33.0,0.706,1
3.0,0.0,93.075,-47.1,1.405,0
3.0,0.0,93.994,-36.4,4.855,0
2.0,1.0,93.444,-36.1,4.962,0
2.0,0.0,93.444,-36.1,4.964,0
3.0,0.0,92.893,-46.2,1.281,0
4.0,0.0,93.444,-36.1,4.966,0
4.0,1.0,93.994,-36.4,4.857,0
4.0,0.0,92.893,-46.2,1.266,0
4.0,0.0,94.465,-41.8,4.967,0
5.0,0.0,92.963,-40.8,1.262,0
2.0,0.0,94.027,-38.3,0.904,0
10.0,0.0,93.2,-42.0,4.076,0
6.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,93.994,-36.4,4.856,0
6.0,0.0,94.055,-39.8,0.742,0
2.0,1.0,93.994,-36.4,4.857,0
6.0,0.0,93.2,-42.0,4.076,0
0.0,1.0,93.994,-36.4,4.86,0
2.0,0.0,93.2,-42.0,4.076,1
4.0,1.0,93.2,-42.0,4.12,0
3.0,0.0,94.465,-41.8,4.96,0
2.0,0.0,93.2,-42.0,4.021,0
3.0,0.0,93.2,-42.0,4.12,1
3.0,0.0,94.465,-41.8,4.967,0
2.0,0.0,93.994,-36.4,4.856,0
2.0,0.0,93.994,-36.4,4.856,0
4.0,0.0,93.994,-36.4,4.858,1
0.0,0.0,93.444,-36.1,4.966,0
2.0,0.0,93.994,-36.4,4.857,1
6.0,0.0,93.994,-36.4,4.858,0
2.0,0.0,93.444,-36.1,4.963,0
8.0,0.0,93.918,-42.7,4.96,0
3.0,1.0,94.465,-41.8,4.958,0
3.0,0.0,93.918,-42.7,4.962,0
4.0,0.0,93.2,-42.0,4.191,0
1.0,0.0,92.893,-46.2,1.25,0
1.0,0.0,93.918,-42.7,4.962,0
8.0,0.0,92.963,-40.8,1.26,1
4.0,0.0,93.918,-42.7,4.966,0
5.0,0.0,92.843,-50.0,1.757,0
3.0,1.0,93.994,-36.4,4.857,0
10.0,0.0,93.918,-42.7,4.963,0
11.0,0.0,92.963,-40.8,1.268,0
4.0,0.0,93.994,-36.4,4.864,0
1.0,0.0,92.893,-46.2,1.313,0
4.0,0.0,93.444,-36.1,4.967,0
2.0,0.0,93.2,-42.0,4.076,0
5.0,0.0,93.918,-42.7,4.96,0
6.0,1.0,93.994,-36.4,4.857,0
1.0,0.0,92.893,-46.2,1.281,0
2.0,1.0,92.843,-50.0,1.51,0
4.0,0.0,94.465,-41.8,4.959,0
4.0,0.0,94.465,-41.8,4.967,0
5.0,0.0,92.201,-31.4,0.881,0
2.0,0.0,92.713,-33.0,0.717,1
3.0,1.0,94.465,-41.8,4.866,0
2.0,0.0,93.2,-42.0,4.153,0
0.0,1.0,93.994,-36.4,4.857,0
2.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,93.2,-42.0,4.021,0
3.0,0.0,92.893,-46.2,1.334,0
4.0,0.0,93.994,-36.4,4.858,0
4.0,0.0,93.994,-36.4,4.857,0
4.0,1.0,93.918,-42.7,4.957,1
2.0,0.0,93.2,-42.0,4.021,0
5.0,0.0,94.027,-38.3,0.886,1
2.0,0.0,93.918,-42.7,4.962,0
2.0,0.0,92.649,-30.1,0.715,0
1.0,0.0,92.893,-46.2,1.313,0
5.0,0.0,92.201,-31.4,0.884,1
3.0,0.0,92.201,-31.4,0.883,0
3.0,0.0,93.994,-36.4,4.856,0
2.0,0.0,94.465,-41.8,4.961,0
4.0,0.0,92.431,-26.9,0.733,1
3.0,1.0,92.893,-46.2,1.266,0
5.0,0.0,93.075,-47.1,1.415,1
11.0,0.0,92.201,-31.4,0.873,1
3.0,0.0,93.2,-42.0,4.021,0
0.0,0.0,94.215,-40.3,0.896,1
1.0,0.0,92.893,-46.2,1.25,0
3.0,0.0,93.2,-42.0,4.076,1
3.0,0.0,93.994,-36.4,4.857,0
4.0,0.0,93.2,-42.0,4.12,0
2.0,0.0,93.444,-36.1,4.964,1
2.0,0.0,93.918,-42.7,4.963,0
2.0,0.0,93.444,-36.1,4.964,0
3.0,0.0,92.893,-46.2,1.244,0
2.0,0.0,93.2,-42.0,4.076,1
11.0,0.0,92.843,-50.0,1.602,0
5.0,0.0,93.075,-47.1,1.415,0
2.0,0.0,93.918,-42.7,4.962,0
7.0,0.0,94.027,-38.3,0.904,1
2.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,92.893,-46.2,1.313,0
2.0,1.0,93.994,-36.4,4.857,0
3.0,0.0,93.994,-36.4,4.858,0
8.0,0.0,93.2,-42.0,4.12,0
11.0,0.0,94.601,-49.5,1.032,0
4.0,0.0,93.994,-36.4,4.86,0
3.0,0.0,93.2,-42.0,4.12,0
5.0,0.0,93.075,-47.1,1.453,1
2.0,0.0,94.465,-41.8,4.959,0
3.0,0.0,92.893,-46.2,1.281,0
4.0,0.0,93.918,-42.7,4.963,0
3.0,0.0,93.994,-36.4,4.856,0
2.0,1.0,92.893,-46.2,1.327,1
6.0,0.0,93.2,-42.0,4.12,0
4.0,0.0,93.444,-36.1,4.964,0
2.0,0.0,92.201,-31.4,0.884,1
2.0,0.0,92.963,-40.8,1.268,0
2.0,0.0,93.918,-42.7,4.961,0
1.0,0.0,92.893,-46.2,1.266,1
0.0,1.0,93.994,-36.4,4.859,0
3.0,0.0,93.918,-42.7,4.962,0
4.0,0.0,93.918,-42.7,4.96,0
4.0,0.0,93.918,-42.7,4.962,0
2.0,0.0,93.444,-36.1,4.962,0
11.0,0.0,93.2,-42.0,4.076,0
4.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,93.994,-36.4,4.857,0
6.0,0.0,93.2,-42.0,4.12,0
3.0,0.0,94.465,-41.8,4.865,0
4.0,0.0,94.465,-41.8,4.967,0
0.0,1.0,93.918,-42.7,4.961,0
2.0,0.0,93.2,-42.0,4.153,0
3.0,0.0,92.893,-46.2,1.244,0
2.0,0.0,93.994,-36.4,4.857,0
1.0,0.0,93.994,-36.4,4.86,0
2.0,0.0,93.444,-36.1,4.963,0
4.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,93.994,-36.4,4.857,0
6.0,0.0,94.199,-37.5,0.884,0
3.0,1.0,93.994,-36.4,4.856,0
6.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,94.465,-41.8,4.961,0
3.0,0.0,94.465,-41.8,4.967,0
4.0,0.0,92.893,-46.2,1.327,0
1.0,1.0,93.918,-42.7,4.968,0
2.0,0.0,92.893,-46.2,1.281,1
4.0,1.0,93.444,-36.1,4.964,0
3.0,1.0,93.2,-42.0,4.153,0
3.0,0.0,94.465,-41.8,4.864,0
5.0,0.0,92.963,-40.8,1.262,0
2.0,0.0,93.918,-42.7,4.961,0
4.0,0.0,93.918,-42.7,4.962,0
6.0,0.0,93.994,-36.4,4.857,0
4.0,0.0,93.369,-34.8,0.646,0
2.0,0.0,93.994,-36.4,4.856,0
2.0,1.0,92.201,-31.4,0.873,0
4.0,0.0,93.918,-42.7,4.961,0
6.0,0.0,93.075,-47.1,1.405,0
4.0,0.0,93.994,-36.4,4.855,0
6.0,0.0,93.2,-42.0,4.12,0
4.0,0.0,93.798,-40.4,4.827,1
2.0,0.0,93.444,-36.1,4.968,0
2.0,0.0,93.994,-36.4,4.859,0
6.0,0.0,92.963,-40.8,1.262,0
1.0,1.0,93.444,-36.1,4.964,0
6.0,0.0,93.2,-42.0,4.191,0
2.0,0.0,93.2,-42.0,4.153,0
6.0,0.0,93.2,-42.0,4.12,0
2.0,0.0,93.994,-36.4,4.858,0
3.0,0.0,92.893,-46.2,1.299,0
11.0,0.0,93.918,-42.7,4.963,0
3.0,1.0,93.994,-36.4,4.856,0
5.0,0.0,92.843,-50.0,1.663,0
4.0,0.0,94.465,-41.8,4.96,0
1.0,0.0,93.444,-36.1,4.966,0
2.0,0.0,93.994,-36.4,4.859,0
1.0,0.0,93.2,-42.0,4.076,0
1.0,0.0,94.465,-41.8,4.866,0
2.0,0.0,92.893,-46.2,1.327,0
5.0,0.0,93.075,-47.1,1.365,1
2.0,0.0,94.465,-41.8,4.864,0
3.0,0.0,93.2,-42.0,4.076,1
10.0,0.0,94.601,-49.5,1.008,1
4.0,0.0,94.027,-38.3,0.899,1
2.0,0.0,92.893,-46.2,1.281,0
2.0,0.0,93.075,-47.1,1.405,0
2.0,0.0,92.893,-46.2,1.299,0
2.0,0.0,92.893,-46.2,1.313,0
11.0,0.0,92.201,-31.4,0.851,1
2.0,0.0,93.444,-36.1,4.963,0
10.0,0.0,93.2,-42.0,4.191,0
11.0,0.0,92.893,-46.2,1.266,0
3.0,0.0,93.994,-36.4,4.858,0
5.0,0.0,93.2,-42.0,4.021,0
8.0,0.0,94.215,-40.3,0.846,1
6.0,0.0,93.918,-42.7,4.96,0
2.0,0.0,93.918,-42.7,4.963,0
2.0,0.0,92.893,-46.2,1.334,0
2.0,0.0,92.893,-46.2,1.266,0
5.0,1.0,93.994,-36.4,4.857,0
1.0,0.0,94.601,-49.5,0.977,0
2.0,0.0,92.893,-46.2,1.327,0
1.0,0.0,92.893,-46.2,1.291,0
3.0,0.0,93.2,-42.0,4.12,0
3.0,0.0,93.994,-36.4,4.858,0
8.0,0.0,92.893,-46.2,1.291,0
1.0,0.0,93.918,-42.7,4.96,0
9.0,1.0,94.465,-41.8,4.959,0
8.0,0.0,92.963,-40.8,1.26,1
9.0,0.0,93.444,-36.1,4.97,0
4.0,1.0,93.918,-42.7,4.962,0
2.0,1.0,92.893,-46.2,1.244,0
3.0,0.0,93.994,-36.4,4.855,0
2.0,0.0,93.994,-36.4,4.856,0
10.0,0.0,93.2,-42.0,4.12,0
1.0,0.0,93.075,-47.1,1.453,0
1.0,0.0,92.893,-46.2,1.281,0
4.0,0.0,93.075,-47.1,1.365,1
4.0,0.0,93.444,-36.1,4.964,0
4.0,0.0,93.444,-36.1,4.964,0
4.0,1.0,93.444,-36.1,4.964,0
2.0,0.0,94.465,-41.8,4.959,0
2.0,0.0,93.994,-36.4,4.857,0
3.0,1.0,92.893,-46.2,1.299,0
7.0,0.0,92.201,-31.4,0.873,1
1.0,0.0,92.893,-46.2,1.334,0
1.0,0.0,93.994,-36.4,4.856,0
1.0,0.0,93.2,-42.0,4.076,0
1.0,0.0,93.994,-36.4,4.855,0
3.0,0.0,92.893,-46.2,1.25,0
3.0,1.0,93.918,-42.7,4.962,0
8.0,0.0,93.444,-36.1,4.968,0
3.0,0.0,93.2,-42.0,4.076,0
2.0,0.0,93.994,-36.4,4.857,0
1.0,0.0,93.369,-34.8,0.636,0
3.0,0.0,93.918,-42.7,4.961,0
4.0,0.0,93.918,-42.7,4.957,0
3.0,0.0,92.893,-46.2,1.313,0
7.0,0.0,94.465,-41.8,4.864,0
1.0,0.0,93.994,-36.4,4.856,0
5.0,0.0,92.843,-50.0,1.663,0
4.0,0.0,93.918,-42.7,4.957,0
6.0,0.0,93.2,-42.0,4.153,0
2.0,0.0,93.2,-42.0,4.12,0
6.0,1.0,93.994,-36.4,4.857,0
3.0,0.0,93.444,-36.1,4.963,0
1.0,0.0,93.918,-42.7,4.962,0
2.0,0.0,93.444,-36.1,4.968,1
3.0,0.0,93.075,-47.1,1.405,0
5.0,0.0,92.649,-30.1,0.714,1
6.0,0.0,93.2,-42.0,4.12,0
10.0,0.0,93.918,-42.7,4.962,0
3.0,0.0,94.465,-41.8,4.865,0
4.0,0.0,93.444,-36.1,4.963,0
2.0,1.0,93.918,-42.7,4.961,0
3.0,0.0,92.893,-46.2,1.244,0
1.0,1.0,93.994,-36.4,4.857,0
2.0,0.0,92.379,-29.8,0.773,1
6.0,0.0,92.893,-46.2,1.327,0
3.0,0.0,92.893,-46.2,1.344,0
2.0,0.0,92.379,-29.8,0.797,1
3.0,0.0,94.465,-41.8,4.865,0
2.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,94.465,-41.8,4.959,0
2.0,0.0,93.444,-36.1,4.968,0
2.0,1.0,93.918,-42.7,4.958,0
4.0,0.0,93.075,-47.1,1.365,1
2.0,1.0,94.465,-41.8,4.955,0
4.0,0.0,93.444,-36.1,4.966,0
1.0,0.0,94.601,-49.5,1.016,0
1.0,1.0,92.893,-46.2,1.327,0
1.0,0.0,94.465,-41.8,4.865,0
6.0,0.0,93.2,-42.0,4.191,0
4.0,0.0,92.201,-31.4,0.881,0
1.0,0.0,93.994,-36.4,4.855,0
6.0,0.0,93.2,-42.0,4.12,0
3.0,0.0,93.994,-36.4,4.858,0
2.0,0.0,93.918,-42.7,4.968,0
2.0,0.0,93.444,-36.1,4.962,0
2.0,0.0,93.876,-40.0,0.672,1
9.0,1.0,93.444,-36.1,4.963,0
3.0,0.0,93.994,-36.4,4.857,0
4.0,0.0,93.918,-42.7,4.957,0
2.0,0.0,94.601,-49.5,0.987,0
8.0,0.0,92.893,-46.2,1.299,0
3.0,0.0,93.918,-42.7,4.957,0
2.0,0.0,92.893,-46.2,1.266,0
4.0,0.0,93.918,-42.7,4.963,0
3.0,0.0,94.465,-41.8,4.864,0
2.0,1.0,93.444,-36.1,4.963,0
4.0,0.0,92.843,-50.0,1.757,0
10.0,0.0,92.963,-40.8,1.099,1
3.0,0.0,92.893,-46.2,1.25,0
2.0,0.0,93.2,-42.0,4.076,0
4.0,0.0,93.444,-36.1,4.963,0
2.0,0.0,93.994,-36.4,4.859,0
1.0,0.0,93.2,-42.0,4.12,0
2.0,0.0,92.893,-46.2,1.291,0
2.0,0.0,93.369,-34.8,0.652,0
3.0,1.0,93.444,-36.1,4.966,0
4.0,0.0,93.075,-47.1,1.445,0
2.0,0.0,93.918,-42.7,4.962,0
1.0,0.0,93.075,-47.1,1.405,0
3.0,0.0,93.918,-42.7,4.962,0
3.0,1.0,93.994,-36.4,4.857,0
6.0,0.0,94.465,-41.8,4.962,0
2.0,0.0,92.893,-46.2,1.291,0
4.0,0.0,92.893,-46.2,1.313,0
5.0,0.0,93.075,-47.1,1.498,1
3.0,0.0,92.649,-30.1,0.716,0
4.0,0.0,93.918,-42.7,4.957,0
2.0,0.0,93.918,-42.7,4.962,0
2.0,0.0,93.994,-36.4,4.859,0
3.0,1.0,94.465,-41.8,4.967,0
3.0,1.0,93.994,-36.4,4.857,0
3.0,1.0,94.465,-41.8,4.959,0
3.0,0.0,93.918,-42.7,4.963,0
3.0,0.0,93.918,-42.7,4.962,0
4.0,0.0,93.918,-42.7,4.961,0
7.0,1.0,93.444,-36.1,4.967,0
4.0,1.0,93.2,-42.0,4.021,0
2.0,0.0,93.075,-47.1,1.365,0
8.0,1.0,93.444,-36.1,4.964,1
11.0,0.0,92.649,-30.1,0.715,0
2.0,1.0,93.994,-36.4,4.858,0
5.0,0.0,92.843,-50.0,1.531,1
3.0,0.0,93.444,-36.1,4.965,0
1.0,0.0,93.994,-36.4,4.857,0
1.0,1.0,93.918,-42.7,4.961,0
4.0,0.0,93.918,-42.7,4.962,0
3.0,1.0,93.918,-42.7,4.96,0
3.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,93.918,-42.7,4.962,0
3.0,1.0,92.893,-46.2,1.266,0
3.0,0.0,92.893,-46.2,1.25,0
11.0,0.0,92.201,-31.4,0.851,0
4.0,1.0,93.994,-36.4,4.858,0
2.0,0.0,92.201,-31.4,0.884,1
10.0,0.0,93.075,-47.1,1.405,0
2.0,0.0,93.918,-42.7,4.961,0
2.0,0.0,93.918,-42.7,4.963,0
5.0,0.0,92.201,-31.4,0.834,1
3.0,1.0,93.994,-36.4,4.857,0
8.0,0.0,93.2,-42.0,4.12,0
3.0,0.0,94.465,-41.8,4.96,0
5.0,0.0,93.918,-42.7,4.962,0
8.0,0.0,93.2,-42.0,4.153,0
1.0,1.0,94.465,-41.8,4.961,0
6.0,0.0,93.2,-42.0,4.076,0
4.0,0.0,93.994,-36.4,4.858,0
7.0,0.0,92.201,-31.4,0.869,0
9.0,1.0,94.465,-41.8,4.865,0
1.0,0.0,93.994,-36.4,4.86,1
6.0,0.0,93.918,-42.7,4.958,0
2.0,0.0,92.963,-40.8,1.26,0
3.0,0.0,93.918,-42.7,4.96,0
0.0,0.0,93.749,-34.6,0.642,1
2.0,0.0,92.201,-31.4,0.883,0
8.0,1.0,93.444,-36.1,4.964,0
2.0,0.0,93.918,-42.7,4.968,0
0.0,1.0,93.994,-36.4,4.857,0
2.0,1.0,93.918,-42.7,4.96,0
4.0,0.0,93.444,-36.1,4.964,0
4.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,94.027,-38.3,0.904,1
3.0,0.0,92.893,-46.2,1.344,0
4.0,1.0,93.444,-36.1,4.962,0
2.0,0.0,93.075,-47.1,1.405,1
2.0,0.0,92.893,-46.2,1.344,0
6.0,0.0,92.893,-46.2,1.334,0
4.0,0.0,93.444,-36.1,4.967,0
2.0,0.0,92.201,-31.4,0.859,0
3.0,0.0,93.444,-36.1,4.963,0
4.0,0.0,93.444,-36.1,4.965,0
8.0,1.0,93.994,-36.4,4.857,0
5.0,1.0,93.444,-36.1,4.965,0
0.0,0.0,92.649,-30.1,0.715,1
2.0,0.0,93.918,-42.7,4.962,0
